3	103	1
3	25	1
3	15	1
3	30	1
3	35	1
3	27	1
4	34	1
9	7	1
9	27	1
9	91	1
9	70	1
15	103	1
19	53	1
19	30	1
19	86	1
19	27	1
19	174	1
19	91	1
70	7	1
70	86	1
132	19	1
132	30	1
27	91	1
27	174	1
30	86	1
30	27	1
30	174	1
30	91	1
34	7	1
35	84	1
35	210	1
35	103	1
52	25	1
52	35	1
52	30	1
52	15	1
52	103	1
53	27	1
53	174	1
53	86	1
53	91	1
53	30	1
53	210	1
57	91	1
57	53	1
57	24	1
57	30	1
174	91	1
77	35	1
77	4	1
25	15	1
25	103	1
84	27	1
86	27	1
86	91	1
86	174	1
61	27	1
96	91	1
96	27	1
96	30	1
96	86	1
96	174	1
7	27	1
102	19	1
102	70	1
55	142	-1
225	104	-1
75	243	-1
12	205	-1
72	220	-1
167	197	-1
220	206	-1
170	86	-1
29	131	-1
17	147	-1
96	143	-1
211	258	-1
191	87	-1
76	112	-1
227	228	-1
37	146	-1
233	82	-1
200	17	-1
189	216	-1
33	198	-1
118	81	-1
112	219	-1
17	173	-1
100	73	-1
88	195	-1
200	207	-1
252	251	-1
159	250	-1
5	48	-1
224	259	-1
185	202	-1
231	49	-1
129	95	-1
88	47	-1
181	79	-1
253	93	-1
65	161	-1
36	105	-1
21	147	-1
116	66	-1
64	103	-1
65	51	-1
43	74	-1
115	254	-1
192	134	-1
18	127	-1
234	215	-1
135	130	-1
97	255	-1
230	128	-1
257	149	-1
62	177	-1
107	14	-1
139	136	-1
26	208	-1
237	227	-1
99	221	-1
165	141	-1
176	180	-1
117	238	-1
172	3	-1
50	11	-1
32	235	-1
13	16	-1
180	38	-1
261	236	-1
59	212	-1
119	246	-1
262	162	-1
230	247	-1
199	186	-1
98	178	-1
226	23	-1
18	201	-1
106	71	-1
166	256	-1
224	39	-1
160	241	-1
122	144	-1
22	6	-1
52	152	-1
68	28	-1
224	58	-1
8	123	-1
46	218	-1
182	248	-1
89	184	-1
114	213	-1
60	125	-1
193	138	-1
63	126	-1
263	120	-1
151	223	-1
80	90	-1
31	62	-1
1	249	-1
187	20	-1
92	247	-1
239	153	-1
40	203	-1
158	172	-1
101	188	-1
245	169	-1
34	42	-1
213	199	-1
208	67	-1
109	175	-1
85	175	-1
145	179	-1
202	0	-1
240	46	-1
183	111	-1
196	150	-1
78	156	-1
217	242	-1
232	164	-1
230	260	-1
222	91	-1
44	110	-1
140	108	-1
103	24	-1
154	200	-1
204	209	-1
224	190	-1
155	148	-1
69	171	-1
83	16	-1
168	133	-1
194	10	-1
94	244	-1
45	214	-1
72	17	-1
113	229	-1
163	121	-1
2	56	-1
41	157	-1
124	19	-1
54	137	-1
