1022	C0014175	34
1358	C0036202	102
2729	C0036341	103
3128	C0020179	52
4433	C0752109	210
5141	C0026769	84
8581	C0005586	15
9121	C0027051	86
9919	C0162674	132
10244	C0022680	61
10550	C0028754	91
11164	C0007193	19
12283	C0024530	77
13164	C0021364	57
13240	C0003873	7
14495	C0011849	27
15825	C0002395	3
15928	C0011881	30
16263	C0020474	53
16654	C0024117	70
17620	C0010674	24
19972	C0004096	9
20212	C0011570	25
24313	C0002871	4
26945	C0014544	35
28696	C0032460	96
